;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 05.02.2018 13:36:25
;----------------------------------------------

;Address Opcode 	ASM
0x09AA	0x911F    	POP        R17
0x09AC	0x910F    	POP        R16
0x09AE	0x90EF    	POP        R14
0x09B0	0x90DF    	POP        R13
0x09B2	0x90CF    	POP        R12
0x09B4	0x90BF    	POP        R11
0x09B6	0x90AF    	POP        R10
0x09B8	0x909F    	POP        R9
0x09BA	0x908F    	POP        R8
0x09BC	0x907F    	POP        R7
0x09BE	0x906F    	POP        R6
0x09C0	0x905F    	POP        R5
0x09C2	0x904F    	POP        R4
0x09C4	0x903F    	POP        R3
0x09C6	0x902F    	POP        R2
0x09C8	0x901F    	POP        R1
0x09CA	0x900F    	POP        R0
0x09CC	0x9518    	RETI
; end of _disp
_set_digit:
;MyProject.c,26 :: 		void set_digit(char x){
;MyProject.c,27 :: 		i=8;
0x045A	0xE0B8    	LDI        R27, 8
0x045C	0x009093B0  	STS        _i+0, R27
;MyProject.c,28 :: 		while(i!=0){
L_set_digit0:
0x0460	0x00909100  	LDS        R16, _i+0
0x0464	0x3000    	CPI        R16, 0
0x0466	0xF109    	BREQ       L_set_digit1
L__set_digit102:
;MyProject.c,29 :: 		i--;
0x0468	0x00909100  	LDS        R16, _i+0
0x046C	0x5001    	SUBI       R16, 1
0x046E	0x00909300  	STS        _i+0, R16
;MyProject.c,30 :: 		DAT=(x & (1<<i)) ? 1 : 0 ;
0x0472	0x2FB0    	MOV        R27, R16
0x0474	0xE001    	LDI        R16, 1
0x0476	0xE010    	LDI        R17, 0
0x0478	0x23BB    	TST        R27
0x047A	0xF021    	BREQ       L__set_digit104
L__set_digit103:
0x047C	0x0F00    	LSL        R16
0x047E	0x1F11    	ROL        R17
0x0480	0x95BA    	DEC        R27
0x0482	0xF7E1    	BRNE       L__set_digit103
L__set_digit104:
0x0484	0x2102    	AND        R16, R2
0x0486	0x7010    	ANDI       R17, 0
0x0488	0x2FB0    	MOV        R27, R16
0x048A	0x2BB1    	OR         R27, R17
0x048C	0xF011    	BREQ       L_set_digit2
L__set_digit105:
0x048E	0xE001    	LDI        R16, 1
0x0490	0xC001    	RJMP       L_set_digit3
L_set_digit2:
0x0492	0xE000    	LDI        R16, 0
L_set_digit3:
0x0494	0xFB00    	BST        R16, 0
0x0496	0xB3B8    	IN         R27, PORTB+0
0x0498	0xF9B1    	BLD        R27, 1
0x049A	0xBBB8    	OUT        PORTB+0, R27
;MyProject.c,31 :: 		CLK=0;
0x049C	0xB3B8    	IN         R27, PORTB+0
0x049E	0x7FBE    	CBR        R27, 1
0x04A0	0xBBB8    	OUT        PORTB+0, R27
;MyProject.c,32 :: 		CLK=1;
0x04A2	0xB3B8    	IN         R27, PORTB+0
0x04A4	0x60B1    	SBR        R27, 1
0x04A6	0xBBB8    	OUT        PORTB+0, R27
;MyProject.c,33 :: 		}
0x04A8	0xCFDB    	RJMP       L_set_digit0
L_set_digit1:
;MyProject.c,34 :: 		}
L_end_set_digit:
0x04AA	0x9508    	RET
; end of _set_digit
_float_ulong2fp:
;__Lib_MathDouble.c,129 :: 		
;__Lib_MathDouble.c,131 :: 		
0x0440	0x9468    	BSET       6
;__Lib_MathDouble.c,133 :: 		
0x0442	0xDFA3    	RCALL      _float_long2fp+0
;__Lib_MathDouble.c,134 :: 		
L_end_float_ulong2fp:
0x0444	0x9508    	RET
; end of _float_ulong2fp
_float_long2fp:
;__Lib_MathDouble.c,105 :: 		
;__Lib_MathDouble.c,107 :: 		
0x038A	0xE147    	LDI        R20, 23
;__Lib_MathDouble.c,108 :: 		
0x038C	0x2766    	CLR        R22
;__Lib_MathDouble.c,109 :: 		
0x038E	0x2755    	CLR        R21
;__Lib_MathDouble.c,110 :: 		
0x0390	0xF026    	BRTS       L00FC
;__Lib_MathDouble.c,111 :: 		
0x0392	0x2333    	TST        R19
;__Lib_MathDouble.c,112 :: 		
0x0394	0xF412    	BRPL       L00FC
;__Lib_MathDouble.c,114 :: 		
0x0396	0xDF63    	RCALL      _float_neg32+0
;__Lib_MathDouble.c,116 :: 		
0x0398	0xE860    	LDI        R22, 128
;__Lib_MathDouble.c,117 :: 		
L00FC:
;__Lib_MathDouble.c,119 :: 		
0x039A	0xDE75    	RCALL      _float_normalize_and_pack+0
;__Lib_MathDouble.c,120 :: 		
L_end_float_long2fp:
0x039C	0x9508    	RET
; end of _float_long2fp
_float_fpdiv1:
;__Lib_MathDouble.c,616 :: 		
;__Lib_MathDouble.c,618 :: 		
0x0446	0x2E04    	MOV        R0, R20
;__Lib_MathDouble.c,619 :: 		
0x0448	0x2E15    	MOV        R1, R21
;__Lib_MathDouble.c,620 :: 		
0x044A	0x2E26    	MOV        R2, R22
;__Lib_MathDouble.c,621 :: 		
0x044C	0x2E37    	MOV        R3, R23
;__Lib_MathDouble.c,623 :: 		
0x044E	0xDF17    	RCALL      _float_fpdiv+0
;__Lib_MathDouble.c,625 :: 		
0x0450	0x2E00    	MOV        R0, R16
;__Lib_MathDouble.c,626 :: 		
0x0452	0x2E11    	MOV        R1, R17
;__Lib_MathDouble.c,627 :: 		
0x0454	0x2E22    	MOV        R2, R18
;__Lib_MathDouble.c,628 :: 		
0x0456	0x2E33    	MOV        R3, R19
;__Lib_MathDouble.c,630 :: 		
L_end_float_fpdiv1:
0x0458	0x9508    	RET
; end of _float_fpdiv1
_float_fpdiv:
;__Lib_MathDouble.c,499 :: 		
;__Lib_MathDouble.c,501 :: 		
0x027E	0x933F    	PUSH       R19
;__Lib_MathDouble.c,502 :: 		
0x0280	0x932F    	PUSH       R18
;__Lib_MathDouble.c,503 :: 		
0x0282	0x931F    	PUSH       R17
;__Lib_MathDouble.c,504 :: 		
0x0284	0x930F    	PUSH       R16
;__Lib_MathDouble.c,505 :: 		
0x0286	0x2D00    	MOV        R16, R0
;__Lib_MathDouble.c,506 :: 		
0x0288	0x2D11    	MOV        R17, R1
;__Lib_MathDouble.c,507 :: 		
0x028A	0x2D22    	MOV        R18, R2
;__Lib_MathDouble.c,508 :: 		
0x028C	0x2D33    	MOV        R19, R3
;__Lib_MathDouble.c,510 :: 		
0x028E	0xDFC4    	RCALL      _float_unpacku+0
;__Lib_MathDouble.c,512 :: 		
0x0290	0xF409    	BRNE       L0072div
;__Lib_MathDouble.c,513 :: 		
0x0292	0xC04B    	RJMP       L00C2
;__Lib_MathDouble.c,514 :: 		
L0072div:
;__Lib_MathDouble.c,515 :: 		
0x0294	0x2EE6    	MOV        R14, R22
;__Lib_MathDouble.c,516 :: 		
0x0296	0x2ED5    	MOV        R13, R21
;__Lib_MathDouble.c,517 :: 		
0x0298	0x2EC4    	MOV        R12, R20
;__Lib_MathDouble.c,518 :: 		
0x029A	0x2EB3    	MOV        R11, R19
;__Lib_MathDouble.c,519 :: 		
0x029C	0x2EA2    	MOV        R10, R18
;__Lib_MathDouble.c,520 :: 		
0x029E	0x2E91    	MOV        R9, R17
;__Lib_MathDouble.c,521 :: 		
0x02A0	0x2E80    	MOV        R8, R16
;__Lib_MathDouble.c,522 :: 		
0x02A2	0x910F    	POP        R16
;__Lib_MathDouble.c,523 :: 		
0x02A4	0x911F    	POP        R17
;__Lib_MathDouble.c,524 :: 		
0x02A6	0x912F    	POP        R18
;__Lib_MathDouble.c,525 :: 		
0x02A8	0x913F    	POP        R19
;__Lib_MathDouble.c,528 :: 		
0x02AA	0xDFB6    	RCALL      _float_unpacku+0
;__Lib_MathDouble.c,530 :: 		
0x02AC	0xF161    	BREQ       L00AB
;__Lib_MathDouble.c,531 :: 		
0x02AE	0x256E    	EOR        R22, R14
;__Lib_MathDouble.c,532 :: 		
0x02B0	0x194C    	SUB        R20, R12
;__Lib_MathDouble.c,533 :: 		
0x02B2	0x095D    	SBC        R21, R13
;__Lib_MathDouble.c,534 :: 		
0x02B4	0x3840    	CPI        R20, 128
;__Lib_MathDouble.c,535 :: 		
0x02B6	0x0753    	CPC        R21, R19
;__Lib_MathDouble.c,536 :: 		
0x02B8	0xF53C    	BRGE       L00B1
;__Lib_MathDouble.c,537 :: 		
0x02BA	0x3841    	CPI        R20, 129
;__Lib_MathDouble.c,538 :: 		
0x02BC	0xEF7F    	LDI        R23, 255
;__Lib_MathDouble.c,539 :: 		
0x02BE	0x0757    	CPC        R21, R23
;__Lib_MathDouble.c,540 :: 		
0x02C0	0xF17C    	BRLT       L00BD
;__Lib_MathDouble.c,541 :: 		
0x02C2	0xE280    	LDI        R24, 32
;__Lib_MathDouble.c,542 :: 		
0x02C4	0x2477    	CLR        R7
;__Lib_MathDouble.c,543 :: 		
0x02C6	0x2E63    	MOV        R6, R19
;__Lib_MathDouble.c,544 :: 		
0x02C8	0x2E52    	MOV        R5, R18
;__Lib_MathDouble.c,545 :: 		
0x02CA	0x2E41    	MOV        R4, R17
;__Lib_MathDouble.c,546 :: 		
0x02CC	0x2F30    	MOV        R19, R16
;__Lib_MathDouble.c,547 :: 		
0x02CE	0x2722    	CLR        R18
;__Lib_MathDouble.c,548 :: 		
0x02D0	0x2711    	CLR        R17
;__Lib_MathDouble.c,549 :: 		
0x02D2	0x2700    	CLR        R16
;__Lib_MathDouble.c,550 :: 		
L0092:
;__Lib_MathDouble.c,551 :: 		
0x02D4	0x0F00    	LSL        R16
;__Lib_MathDouble.c,552 :: 		
0x02D6	0x1F11    	ROL        R17
;__Lib_MathDouble.c,553 :: 		
0x02D8	0x1F22    	ROL        R18
;__Lib_MathDouble.c,554 :: 		
0x02DA	0x1F33    	ROL        R19
;__Lib_MathDouble.c,555 :: 		
0x02DC	0x1C44    	ROL        R4
;__Lib_MathDouble.c,556 :: 		
0x02DE	0x1C55    	ROL        R5
;__Lib_MathDouble.c,557 :: 		
0x02E0	0x1C66    	ROL        R6
;__Lib_MathDouble.c,558 :: 		
0x02E2	0x1C77    	ROL        R7
;__Lib_MathDouble.c,559 :: 		
0x02E4	0xF028    	BRCS       L00A0div
;__Lib_MathDouble.c,560 :: 		
0x02E6	0x1848    	SUB        R4, R8
;__Lib_MathDouble.c,561 :: 		
0x02E8	0x0859    	SBC        R5, R9
;__Lib_MathDouble.c,562 :: 		
0x02EA	0x086A    	SBC        R6, R10
;__Lib_MathDouble.c,563 :: 		
0x02EC	0x087B    	SBC        R7, R11
;__Lib_MathDouble.c,564 :: 		
0x02EE	0xC004    	RJMP       L00A4
;__Lib_MathDouble.c,565 :: 		
L00A0div:
;__Lib_MathDouble.c,566 :: 		
0x02F0	0x0C48    	ADD        R4, R8
;__Lib_MathDouble.c,567 :: 		
0x02F2	0x1C59    	ADC        R5, R9
;__Lib_MathDouble.c,568 :: 		
0x02F4	0x1C6A    	ADC        R6, R10
;__Lib_MathDouble.c,569 :: 		
0x02F6	0x1C7B    	ADC        R7, R11
;__Lib_MathDouble.c,570 :: 		
L00A4:
;__Lib_MathDouble.c,571 :: 		
0x02F8	0xF00A    	BRMI       L00A6
;__Lib_MathDouble.c,572 :: 		
0x02FA	0x6001    	ORI        R16, 1
;__Lib_MathDouble.c,573 :: 		
L00A6:
;__Lib_MathDouble.c,574 :: 		
0x02FC	0x958A    	DEC        R24
;__Lib_MathDouble.c,575 :: 		
0x02FE	0xF751    	BRNE       L0092
;__Lib_MathDouble.c,576 :: 		
0x0300	0x5041    	SUBI       R20, 1
;__Lib_MathDouble.c,577 :: 		
0x0302	0x4050    	SBCI       R21, 0
;__Lib_MathDouble.c,579 :: 		
0x0304	0xDEC0    	RCALL      _float_normalize_and_pack+0
;__Lib_MathDouble.c,581 :: 		
L00AB:
;__Lib_MathDouble.c,582 :: 		
0x0306	0xC016    	RJMP       L00C2x
;__Lib_MathDouble.c,583 :: 		
L00B1:
;__Lib_MathDouble.c,584 :: 		
0x0308	0xEF0F    	LDI        R16, 255
;__Lib_MathDouble.c,585 :: 		
0x030A	0x2F10    	MOV        R17, R16
;__Lib_MathDouble.c,586 :: 		
0x030C	0xE72F    	LDI        R18, 127
;__Lib_MathDouble.c,587 :: 		
0x030E	0xE73F    	LDI        R19, 127
;__Lib_MathDouble.c,588 :: 		
0x0310	0x2366    	TST        R22
;__Lib_MathDouble.c,589 :: 		
0x0312	0xF3C9    	BREQ       L00AB
;__Lib_MathDouble.c,591 :: 		
0x0314	0xDEB0    	RCALL      _float_tstr16_r19+0
;__Lib_MathDouble.c,593 :: 		
0x0316	0xF3B9    	BREQ       L00AB
;__Lib_MathDouble.c,594 :: 		
0x0318	0x2D34    	MOV        R19, R4
;__Lib_MathDouble.c,595 :: 		
0x031A	0xE830    	LDI        R19, 128
;__Lib_MathDouble.c,596 :: 		
0x031C	0x2534    	EOR        R19, R4
;__Lib_MathDouble.c,597 :: 		
0x031E	0xCFF3    	RJMP       L00AB
;__Lib_MathDouble.c,598 :: 		
L00BD:
;__Lib_MathDouble.c,599 :: 		
0x0320	0x2700    	CLR        R16
;__Lib_MathDouble.c,600 :: 		
0x0322	0x2F10    	MOV        R17, R16
;__Lib_MathDouble.c,601 :: 		
0x0324	0x2F20    	MOV        R18, R16
;__Lib_MathDouble.c,602 :: 		
0x0326	0x2F30    	MOV        R19, R16
;__Lib_MathDouble.c,603 :: 		
0x0328	0xCFEE    	RJMP       L00AB
;__Lib_MathDouble.c,604 :: 		
L00C2:
;__Lib_MathDouble.c,606 :: 		
0x032A	0x900F    	POP        R0
;__Lib_MathDouble.c,607 :: 		
0x032C	0x900F    	POP        R0
;__Lib_MathDouble.c,608 :: 		
0x032E	0x900F    	POP        R0
;__Lib_MathDouble.c,609 :: 		
0x0330	0x900F    	POP        R0
;__Lib_MathDouble.c,610 :: 		
0x0332	0xCFEA    	RJMP       L00B1
;__Lib_MathDouble.c,612 :: 		
L00C2x:
;__Lib_MathDouble.c,614 :: 		
L_end_float_fpdiv:
0x0334	0x9508    	RET
; end of _float_fpdiv
_tdispupdate:
0x075C	0x920F    	PUSH       R0
0x075E	0x921F    	PUSH       R1
0x0760	0x922F    	PUSH       R2
0x0762	0x923F    	PUSH       R3
0x0764	0x924F    	PUSH       R4
0x0766	0x925F    	PUSH       R5
0x0768	0x926F    	PUSH       R6
0x076A	0x927F    	PUSH       R7
0x076C	0x928F    	PUSH       R8
0x076E	0x929F    	PUSH       R9
0x0770	0x92AF    	PUSH       R10
0x0772	0x92BF    	PUSH       R11
0x0774	0x92CF    	PUSH       R12
0x0776	0x92DF    	PUSH       R13
0x0778	0x92EF    	PUSH       R14
0x077A	0x92FF    	PUSH       R15
0x077C	0x930F    	PUSH       R16
0x077E	0x931F    	PUSH       R17
0x0780	0x932F    	PUSH       R18
0x0782	0x933F    	PUSH       R19
0x0784	0x934F    	PUSH       R20
0x0786	0x935F    	PUSH       R21
0x0788	0x936F    	PUSH       R22
0x078A	0x937F    	PUSH       R23
0x078C	0x938F    	PUSH       R24
0x078E	0x939F    	PUSH       R25
0x0790	0x93AF    	PUSH       R26
0x0792	0x93BF    	PUSH       R27
0x0794	0x93CF    	PUSH       R28
0x0796	0x93DF    	PUSH       R29
0x0798	0x93EF    	PUSH       R30
0x079A	0x93FF    	PUSH       R31
0x079C	0x93EF    	PUSH       R30
0x079E	0x93FF    	PUSH       R31
0x07A0	0x93BF    	PUSH       R27
0x07A2	0xB7BF    	IN         R27, SREG+0
0x07A4	0x93BF    	PUSH       R27
;MyProject.c,58 :: 		void tdispupdate() iv IVT_ADDR_TIMER1_OVF
;MyProject.c,60 :: 		if (go_flag==1)dectosev(temp_curr);
0x07A6	0x922F    	PUSH       R2
0x07A8	0x923F    	PUSH       R3
0x07AA	0x00669100  	LDS        R16, _go_flag+0
0x07AE	0x3001    	CPI        R16, 1
0x07B0	0xF459    	BRNE       L_tdispupdate9
L__tdispupdate114:
0x07B2	0x008C9100  	LDS        R16, _temp_curr+0
0x07B6	0x008D9110  	LDS        R17, _temp_curr+1
0x07BA	0x008E9120  	LDS        R18, _temp_curr+2
0x07BE	0x008F9130  	LDS        R19, _temp_curr+3
0x07C2	0xDE80    	RCALL      _float_fpint+0
0x07C4	0x0118    	MOVW       R2, R16
0x07C6	0xDEB4    	RCALL      _dectosev+0
L_tdispupdate9:
;MyProject.c,61 :: 		}
L_end_tdispupdate:
0x07C8	0x903F    	POP        R3
0x07CA	0x902F    	POP        R2
0x07CC	0x91BF    	POP        R27
0x07CE	0xBFBF    	OUT        SREG+0, R27
0x07D0	0x91BF    	POP        R27
0x07D2	0x91FF    	POP        R31
0x07D4	0x91EF    	POP        R30
0x07D6	0x91FF    	POP        R31
0x07D8	0x91EF    	POP        R30
0x07DA	0x91DF    	POP        R29
0x07DC	0x91CF    	POP        R28
0x07DE	0x91BF    	POP        R27
0x07E0	0x91AF    	POP        R26
0x07E2	0x919F    	POP        R25
0x07E4	0x918F    	POP        R24
0x07E6	0x917F    	POP        R23
0x07E8	0x916F    	POP        R22
0x07EA	0x915F    	POP        R21
0x07EC	0x914F    	POP        R20
0x07EE	0x913F    	POP        R19
0x07F0	0x912F    	POP        R18
0x07F2	0x911F    	POP        R17
0x07F4	0x910F    	POP        R16
0x07F6	0x90FF    	POP        R15
0x07F8	0x90EF    	POP        R14
0x07FA	0x90DF    	POP        R13
0x07FC	0x90CF    	POP        R12
0x07FE	0x90BF    	POP        R11
0x0800	0x90AF    	POP        R10
0x0802	0x909F    	POP        R9
0x0804	0x908F    	POP        R8
0x0806	0x907F    	POP        R7
0x0808	0x906F    	POP        R6
0x080A	0x905F    	POP        R5
0x080C	0x904F    	POP        R4
0x080E	0x903F    	POP        R3
0x0810	0x902F    	POP        R2
0x0812	0x901F    	POP        R1
0x0814	0x900F    	POP        R0
0x0816	0x9518    	RETI
; end of _tdispupdate
_do_step:
0x0730	0x930F    	PUSH       R16
0x0732	0x93EF    	PUSH       R30
0x0734	0x93FF    	PUSH       R31
0x0736	0x93BF    	PUSH       R27
0x0738	0xB7BF    	IN         R27, SREG+0
0x073A	0x93BF    	PUSH       R27
;MyProject.c,63 :: 		void do_step() iv IVT_ADDR_TIMER2_OVF
;MyProject.c,65 :: 		STEP=1;STEP=0;
0x073C	0xB3B2    	IN         R27, PORTD+0
0x073E	0x62B0    	SBR        R27, 32
0x0740	0xBBB2    	OUT        PORTD+0, R27
0x0742	0xB3B2    	IN         R27, PORTD+0
0x0744	0x7DBF    	CBR        R27, 32
0x0746	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,66 :: 		TCNT2=motor_speed;
0x0748	0x00689100  	LDS        R16, _motor_speed+0
0x074C	0xBD04    	OUT        TCNT2+0, R16
;MyProject.c,67 :: 		}
L_end_do_step:
0x074E	0x91BF    	POP        R27
0x0750	0xBFBF    	OUT        SREG+0, R27
0x0752	0x91BF    	POP        R27
0x0754	0x91FF    	POP        R31
0x0756	0x91EF    	POP        R30
0x0758	0x910F    	POP        R16
0x075A	0x9518    	RETI
; end of _do_step
_butt_stop:
0x06AE	0x930F    	PUSH       R16
0x06B0	0x931F    	PUSH       R17
0x06B2	0x932F    	PUSH       R18
0x06B4	0x933F    	PUSH       R19
0x06B6	0x93EF    	PUSH       R30
0x06B8	0x93FF    	PUSH       R31
0x06BA	0x93BF    	PUSH       R27
0x06BC	0xB7BF    	IN         R27, SREG+0
0x06BE	0x93BF    	PUSH       R27
;MyProject.c,69 :: 		void butt_stop() iv IVT_ADDR_INT0
;MyProject.c,72 :: 		if(go_flag==1){
0x06C0	0x00669100  	LDS        R16, _go_flag+0
0x06C4	0x3001    	CPI        R16, 1
0x06C6	0xF451    	BRNE       L_butt_stop10
L__butt_stop117:
;MyProject.c,73 :: 		HEAT=0;
0x06C8	0xB3B2    	IN         R27, PORTD+0
0x06CA	0x7BBF    	CBR        R27, 64
0x06CC	0xBBB2    	OUT        PORTD+0, R27
;MyProject.c,74 :: 		HEAT_LED=0;
0x06CE	0xB3B5    	IN         R27, PORTC+0
0x06D0	0x7DBF    	CBR        R27, 32
0x06D2	0xBBB5    	OUT        PORTC+0, R27
;MyProject.c,75 :: 		go_flag=0;
0x06D4	0xE0B0    	LDI        R27, 0
0x06D6	0x006693B0  	STS        _go_flag+0, R27
;MyProject.c,76 :: 		}else
0x06DA	0xC003    	RJMP       L_butt_stop11
L_butt_stop10:
;MyProject.c,78 :: 		go_flag=1;
0x06DC	0xE0B1    	LDI        R27, 1
0x06DE	0x006693B0  	STS        _go_flag+0, R27
;MyProject.c,79 :: 		}
L_butt_stop11:
;MyProject.c,80 :: 		delay_ms(200);
0x06E2	0xE02D    	LDI        R18, 13
0x06E4	0xE21D    	LDI        R17, 45
0x06E6	0xED08    	LDI        R16, 216
L_butt_stop12:
0x06E8	0x950A    	DEC        R16
0x06EA	0xF7F1    	BRNE       L_butt_stop12
0x06EC	0x951A    	DEC        R17
0x06EE	0xF7E1    	BRNE       L_butt_stop12
0x06F0	0x952A    	DEC        R18
0x06F2	0xF7D1    	BRNE       L_butt_stop12
0x06F4	0x0000    	NOP
0x06F6	0x0000    	NOP
;MyProject.c,81 :: 		while(PIND2_bit==0) temp_menu=0;
L_butt_stop14:
0x06F8	0xB3B0    	IN         R27, PIND2_bit+0
0x06FA	0xFDB2    	SBRC       R27, 2
0x06FC	0xC004    	RJMP       L_butt_stop15
0x06FE	0xE0B0    	LDI        R27, 0
0x0700	0x009393B0  	STS        _temp_menu+0, R27
0x0704	0xCFF9    	RJMP       L_butt_stop14
L_butt_stop15:
;MyProject.c,82 :: 		delay_ms(200);
0x0706	0xE02D    	LDI        R18, 13
0x0708	0xE21D    	LDI        R17, 45
0x070A	0xED08    	LDI        R16, 216
L_butt_stop16:
0x070C	0x950A    	DEC        R16
0x070E	0xF7F1    	BRNE       L_butt_stop16
0x0710	0x951A    	DEC        R17
0x0712	0xF7E1    	BRNE       L_butt_stop16
0x0714	0x952A    	DEC        R18
0x0716	0xF7D1    	BRNE       L_butt_stop16
0x0718	0x0000    	NOP
0x071A	0x0000    	NOP
;MyProject.c,83 :: 		}
L_end_butt_stop:
0x071C	0x91BF    	POP        R27
0x071E	0xBFBF    	OUT        SREG+0, R27
0x0720	0x91BF    	POP        R27
0x0722	0x91FF    	POP        R31
0x0724	0x91EF    	POP        R30
0x0726	0x913F    	POP        R19
0x0728	0x912F    	POP        R18
0x072A	0x911F    	POP        R17
0x072C	0x910F    	POP        R16
0x072E	0x9518    	RETI
; end of _butt_stop
;MyProject.c,0 :: ?ICS_temp_set
0x0026	0x0000 ;?ICS_temp_set+0
0x0028	0x4334 ;?ICS_temp_set+2
; end of ?ICS_temp_set
;MyProject.c,0 :: ?ICS_ndig
0x002A	0x00 ;?ICS_ndig+0
; end of ?ICS_ndig
;MyProject.c,0 :: ?ICS_rpm
0x002B	0x0A ;?ICS_rpm+0
; end of ?ICS_rpm
;MyProject.c,0 :: ?ICS_go_flag
0x002C	0x00 ;?ICS_go_flag+0
; end of ?ICS_go_flag
;MyProject.c,0 :: ?ICS_stby_flag
0x002D	0x01 ;?ICS_stby_flag+0
; end of ?ICS_stby_flag
;MyProject.c,0 :: ?ICS_motor_speed
0x002E	0xE1 ;?ICS_motor_speed+0
; end of ?ICS_motor_speed
;MyProject.c,0 :: ?ICS_dig4
0x002F	0x0C ;?ICS_dig4+0
; end of ?ICS_dig4
;MyProject.c,0 :: ?ICS_dig3
0x0030	0x00 ;?ICS_dig3+0
; end of ?ICS_dig3
;MyProject.c,0 :: ?ICS_tdown_but_flag
0x0031	0x00 ;?ICS_tdown_but_flag+0
; end of ?ICS_tdown_but_flag
;MyProject.c,0 :: ?ICS_tup_but_flag
0x0032	0x00 ;?ICS_tup_but_flag+0
; end of ?ICS_tup_but_flag
;MyProject.c,0 :: ?ICS_spddown_but_flag
0x0033	0x00 ;?ICS_spddown_but_flag+0
; end of ?ICS_spddown_but_flag
;MyProject.c,0 :: ?ICS_spdup_but_flag
0x0034	0x00 ;?ICS_spdup_but_flag+0
; end of ?ICS_spdup_but_flag
;MyProject.c,0 :: ?ICS_stb_but_flag
0x0035	0x00 ;?ICS_stb_but_flag+0
; end of ?ICS_stb_but_flag
;MyProject.c,0 :: ?ICS_digit_out
0x0036	0xF9C0 ;?ICS_digit_out+0
0x0038	0xB0A4 ;?ICS_digit_out+2
0x003A	0x9299 ;?ICS_digit_out+4
0x003C	0xF882 ;?ICS_digit_out+6
0x003E	0x9080 ;?ICS_digit_out+8
0x0040	0xC6FF ;?ICS_digit_out+10
0x0042	0xA79C ;?ICS_digit_out+12
0x0044	0x92A3 ;?ICS_digit_out+14
0x0046	0x8387 ;?ICS_digit_out+16
0x0048	0xC291 ;?ICS_digit_out+18
; end of ?ICS_digit_out
;MyProject.c,0 :: ?ICS_temp2
0x004A	0x0000 ;?ICS_temp2+0
; end of ?ICS_temp2
;MyProject.c,0 :: ?ICS_dig2
0x004C	0x00 ;?ICS_dig2+0
; end of ?ICS_dig2
;MyProject.c,0 :: ?ICS_dig1
0x004D	0x00 ;?ICS_dig1+0
; end of ?ICS_dig1
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x002A      [10]    _float_pack
0x0034       [7]    _float_unpacks
0x003B       [8]    _float_tstr16_r19
0x0043      [46]    _float_normalize_and_pack
0x0071      [11]    _float_fpcmp
0x007C      [91]    _float_fpadd_alt
0x00D7      [34]    _get_adc
0x00F9      [19]    _ADC_Get_Sample
0x010C      [21]    _float_unpacku
0x0121      [11]    _ADC_Init
0x012C       [3]    _float_fpadd
0x012F       [9]    _float_neg32
0x0138       [7]    _float_fpcmp1
0x013F      [92]    _float_fpdiv
0x019B      [42]    _Div_16x16_S
0x01C5      [10]    _float_long2fp
0x01CF      [62]    _float_fpmul
0x020D       [3]    _float_fpsub
0x0210      [16]    _float_op_big
0x0220       [3]    _float_ulong2fp
0x0223      [10]    _float_fpdiv1
0x022D      [41]    _set_digit
0x0256      [12]    _Div_8x8_U
0x0262      [36]    _float_fpint
0x0286      [10]    _float_fpmul1
0x0290       [3]    _ADC_Read
0x0293       [5]    ___CC2DW
0x0298      [43]    _dectosev
0x02C3      [11]    _Delay_100ms
0x02CE      [10]    _float_fpsub1
0x02D8       [7]    _float_op_less
0x02DF     [110]    _button_chk
0x034D      [10]    _float_fpadd1
0x0357      [65]    _butt_stop
0x0398      [22]    _do_step
0x03AE      [94]    _tdispupdate
0x040C     [219]    _disp
0x04E7     [586]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    R0
0x0000       [1]    Delay_Cyc_loc_L0
0x0001       [1]    R1
0x0002       [4]    FARG_Time_epochToDate_e
0x0002       [1]    FARG_S1D13700_TxtFill_d
0x0002       [1]    FARG_SPI_T6963C_setBit_b
0x0002       [1]    FARG_S1D13700_Display_GrLayer_mode
0x0002       [1]    FARG_SPI_Lcd8_Cmd_out_char
0x0002       [1]    FARG_S1D13700_Display_TxtLayer_mode
0x0002       [2]    FARG_S1D13700_Rectangle_Round_Edges_Fill_x_upper_left
0x0002       [1]    FARG_SPI_Lcd8_Chr_row
0x0002       [1]    FARG_SPI_T6963C_clearBit_b
0x0002       [2]    FARG_Button_port
0x0002       [2]    FARG_S1D13700_V_Line_y_start
0x0002       [2]    FARG_cosE3_angle_deg
0x0002       [2]    FARG_SPI_Lcd8_Out_CP_text
0x0002       [2]    FARG_S1D13700_Rectangle_Round_Edges_x_upper_left
0x0002       [2]    FARG_S1D13700_Rectangle_x0
0x0002       [1]    FARG_TWI_Write_data_
0x0002       [1]    FARG_TWI_Read_ack
0x0002       [2]    FARG_sinE3_angle_deg
0x0002       [2]    FARG_Time_dateDiff_t1
0x0002       [2]    FARG_S1D13700_Line_x0
0x0002       [2]    FARG_S1D13700_H_Line_x_start
0x0002       [1]    FARG_S1D13700_Display_Cursor_mode
0x0002       [1]    FARG_SPI_Lcd8_Config_DeviceAddress
